Windows PowerShell
版权所有（C） Microsoft Corporation。保留所有权利。

安装最新的 PowerShell，了解新功能和改进！https://aka.ms/PSWindows

PS C:\Git\ga_combine\source_code\multi_ppo_acrobot_noisy> python ppo_3m_noisy_acrobot_train.py
=== Starting E2E PPO (3M Params) Tests on ACROBOT IN NOISY ENVIRONMENT ===
Target Score: -85.0 | Max Steps Allowed: 1000000


--- Running NOISY Acrobot Seed 103 (1/3) with 16 workers ---
[*] PPO 3M Model Instantiated for Acrobot!
[*] Total Parameters: 3,029,924 (Trainable: 3,029,924)
    [Progress] Steps: 420000 | Elapsed: 1647.3s | Recent Avg Reward: -101.7
    [Progress] Steps: 430000 | Elapsed: 1685.7s | Recent Avg Reward: -99.7
    [Progress] Steps: 440000 | Elapsed: 1724.6s | Recent Avg Reward: -116.2
    [Progress] Steps: 450000 | Elapsed: 1763.2s | Recent Avg Reward: -113.0
    [Progress] Steps: 460000 | Elapsed: 1806.4s | Recent Avg Reward: -94.9
    [Progress] Steps: 470000 | Elapsed: 1845.2s | Recent Avg Reward: -97.5
    [Progress] Steps: 480000 | Elapsed: 1884.3s | Recent Avg Reward: -106.7
    [Progress] Steps: 490000 | Elapsed: 1923.3s | Recent Avg Reward: -108.4
    [Progress] Steps: 500000 | Elapsed: 1966.5s | Recent Avg Reward: -118.0
    [Progress] Steps: 510000 | Elapsed: 2004.9s | Recent Avg Reward: -112.8
    [Progress] Steps: 520000 | Elapsed: 2043.4s | Recent Avg Reward: -101.2
    [Progress] Steps: 530000 | Elapsed: 2082.3s | Recent Avg Reward: -128.1
    [Progress] Steps: 540000 | Elapsed: 2120.9s | Recent Avg Reward: -121.5
    [Progress] Steps: 550000 | Elapsed: 2163.9s | Recent Avg Reward: -106.0
    [Progress] Steps: 560000 | Elapsed: 2202.7s | Recent Avg Reward: -113.0
    [Progress] Steps: 570000 | Elapsed: 2241.4s | Recent Avg Reward: -126.0
    [Progress] Steps: 580000 | Elapsed: 2279.9s | Recent Avg Reward: -131.6
    [Progress] Steps: 590000 | Elapsed: 2322.8s | Recent Avg Reward: -124.2
    [Progress] Steps: 600000 | Elapsed: 2361.1s | Recent Avg Reward: -107.2
    [Progress] Steps: 610000 | Elapsed: 2399.5s | Recent Avg Reward: -112.5
    [Progress] Steps: 620000 | Elapsed: 2438.3s | Recent Avg Reward: -120.0
    [Progress] Steps: 630000 | Elapsed: 2477.2s | Recent Avg Reward: -115.3
    [Progress] Steps: 640000 | Elapsed: 2520.1s | Recent Avg Reward: -95.5
    [Progress] Steps: 650000 | Elapsed: 2558.8s | Recent Avg Reward: -104.6
    [Progress] Steps: 660000 | Elapsed: 2597.6s | Recent Avg Reward: -93.5
    [Progress] Steps: 670000 | Elapsed: 2636.4s | Recent Avg Reward: -98.8
    [Progress] Steps: 680000 | Elapsed: 2679.5s | Recent Avg Reward: -99.0
    [Progress] Steps: 690000 | Elapsed: 2718.1s | Recent Avg Reward: -95.5
    [Progress] Steps: 700000 | Elapsed: 2756.8s | Recent Avg Reward: -105.8
    [Progress] Steps: 710000 | Elapsed: 2795.4s | Recent Avg Reward: -100.0
    [Progress] Steps: 720000 | Elapsed: 2834.4s | Recent Avg Reward: -96.5
